Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac,resorts_per_state,resorts_per_100kcapita,resorts_per_100ksq_mile,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
Alyeska Resort,Alaska,Alaska,3939,2500,250,1,0,2,2,0,0,2,7,76.0,2.0,1.0,1610.0,113.0,150.0,60.0,669.0,85.0,150.0,550.0,3,0.4100909718472548,0.4508674690103759,0.706140350877193,0.4347826086956521,0.5,0.9482758620689656,0.0921052631578947,0.0043478260869565,0.0263157894736842,0.0012422360248447
Eaglecrest Ski Area,Alaska,Alaska,2600,1540,1200,0,0,0,0,0,4,0,4,36.0,1.0,2.0,640.0,60.0,45.0,44.0,350.0,53.0,90.0,,3,0.4100909718472548,0.4508674690103759,0.2807017543859649,0.1304347826086956,0.25,,0.1111111111111111,0.00625,0.0,0.0
Hilltop Ski Area,Alaska,Alaska,2090,294,1796,0,0,0,0,1,0,2,3,13.0,1.0,1.0,30.0,30.0,150.0,36.0,69.0,34.0,152.0,30.0,3,0.4100909718472548,0.4508674690103759,0.0131578947368421,0.4347826086956521,0.25,0.0517241379310344,0.2307692307692307,0.1,0.0,0.0
Arizona Snowbowl,Arizona,Arizona,11500,2300,9200,0,1,0,2,2,1,2,8,55.0,4.0,2.0,777.0,104.0,122.0,81.0,260.0,89.0,122.0,,2,0.0274773699815503,1.7545398719185894,0.4927076727964489,0.5147679324894515,0.6666666666666666,,0.1454545454545454,0.0102960102960102,0.0,0.0
Sunrise Park Resort,Arizona,Arizona,11100,1800,9200,0,0,1,2,3,1,0,7,65.0,2.0,1.2,800.0,80.0,115.0,49.0,250.0,78.0,104.0,80.0,2,0.0274773699815503,1.7545398719185894,0.507292327203551,0.4852320675105485,0.3333333333333333,1.0,0.1076923076923077,0.00875,0.0153846153846153,0.00125
Yosemite Ski & Snowboard Area,Northern California,California,7800,600,7200,0,0,0,0,1,3,1,5,10.0,2.0,0.4,88.0,,110.0,84.0,300.0,47.0,107.0,,21,0.0531481106492034,12.828736369467608,0.0033913981809773,0.0401753104455807,0.0246913580246913,,0.5,0.0568181818181818,0.0,0.0
Dodge Ridge,Sierra Nevada,California,8200,1600,6600,0,0,0,1,2,5,4,12,67.0,5.0,2.0,862.0,,,69.0,350.0,78.0,140.0,,21,0.0531481106492034,12.828736369467608,0.0332202867273007,,0.0617283950617283,,0.1791044776119403,0.0139211136890951,0.0,0.0
Donner Ski Ranch,Sierra Nevada,California,8012,750,7031,0,0,0,0,1,5,2,8,52.0,2.0,1.5,505.0,60.0,163.0,82.0,400.0,75.0,170.0,,21,0.0531481106492034,12.828736369467608,0.0194620009249267,0.0595325054784514,0.0246913580246913,,0.1538461538461538,0.0158415841584158,0.0,0.0
Mammoth Mountain Ski Area,Sierra Nevada,California,11053,3100,7953,3,2,9,1,6,4,0,25,154.0,7.0,3.0,3500.0,700.0,243.0,66.0,400.0,159.0,,,21,0.0531481106492034,12.828736369467608,0.1348851549252351,0.0887509130752374,0.0864197530864197,,0.1623376623376623,0.0071428571428571,0.0584415584415584,0.0025714285714285
Mt. Shasta Ski Park,Sierra Nevada,California,6890,1435,5500,0,0,0,0,3,0,1,4,32.0,2.0,1.1,425.0,225.0,140.0,34.0,300.0,59.0,130.0,,21,0.0531481106492034,12.828736369467608,0.0163789116694928,0.0511322132943754,0.0246913580246913,,0.125,0.0094117647058823,0.0,0.0
Mountain High,Sierra Nevada,California,8200,1600,6600,0,0,2,2,2,5,3,14,59.0,1.0,1.6,290.0,275.0,118.0,95.0,108.0,84.0,150.0,73.0,21,0.0531481106492034,12.828736369467608,0.011176198550948,0.0430971512052593,0.0123456790123456,0.1243611584327086,0.2372881355932203,0.0482758620689655,0.0338983050847457,0.0068965517241379
